cpt_code,cpt_description,total_services,total_beneficiaries,physician_count,avg_payment,total_revenue,national_avg_payment,national_total_services,payment_vs_national,payment_gap_dollars
99214,"Established patient office or other outpatient visit, 30-39 minutes",2829906.0,1907758,8198,87.0451384976624,255940963.94,,,,
99213,"Established patient office or other outpatient visit, 20-29 minutes",2153380.0,1573125,8079,60.07255137989636,135123267.44,,,,
52000,Diagnostic exam of bladder and urethra using an endoscope,703993.0,596010,7643,140.96838094313787,103359831.03,181.5043381,579109.0,-22.3,-40.54
52000,Diagnostic exam of bladder and urethra using an endoscope,703993.0,596010,7643,140.96838094313787,103359831.03,102.83775916,266945.0,37.1,38.13
99204,"New patient office or other outpatient visit, 45-59 minutes",597522.0,597499,7423,113.54571762180926,69294217.23,,,,
J9217,"Leuprolide acetate (for depot suspension), 7.5 mg",390049.0,53394,2297,133.18082828649884,52007703.95,,,,
J0897,"Injection, denosumab, 1 mg",1266634.0,6117,283,18.333168389664312,23223709.23,,,,
99215,"Established patient office or other outpatient visit, 40-54 minutes",160599.0,126817,3020,129.67892561912376,20988541.17,,,,
87798,"Detection test by nucleic acid for organism, amplified probe technique",593844.5,41267,420,34.27603707679524,20367243.46,,,,
52356,Crushing of stone of ureter with insertion of stent using an endoscope,58451.0,53431,2815,321.64208613924495,18799686.5,326.63333099,1423.0,-1.5,-4.99
52356,Crushing of stone of ureter with insertion of stent using an endoscope,58451.0,53431,2815,321.64208613924495,18799686.5,477.83681029,87704.0,-32.7,-156.19
51728,Complex measurement of pressure of urine flow in bladder with voiding pressure studies,59599.0,56431,1497,245.37702181574141,15237519.22,272.27057095,77467.0,-9.9,-26.89
51728,Complex measurement of pressure of urine flow in bladder with voiding pressure studies,59599.0,56431,1497,245.37702181574141,15237519.22,82.217265909,8266.0,198.4,163.16
55700,Biopsy of prostate gland,110385.0,109491,4064,135.7305185167202,14931288.76,179.7220915,74210.0,-24.5,-43.99
55700,Biopsy of prostate gland,110385.0,109491,4064,135.7305185167202,14931288.76,237.02914164,89578.0,-42.7,-101.3
99203,"New patient office or other outpatient visit, 30-44 minutes",189618.0,189610,4436,74.21047890042242,14335595.23,,,,
76872,Ultrasound scan of pelvic region through rectum,159456.0,152607,4008,72.14358741254273,12706966.63,,,,
99490,"Chronic care management services, first 20 minutes of clinical staff time directed by health care professional, per calendar month",263722.0,55767,918,47.5347562140913,12227150.32,,,,
J1952,"Leuprolide injectable, camcevi, 1 mg",180991.0,3453,161,64.80603414154038,11763486.69,,,,
51798,Ultrasound measurement of bladder capacity after voiding,1440705.0,1047428,6120,7.907969143388311,11572167.51,7.8283693882,1882594.0,1.0,0.08
51798,Ultrasound measurement of bladder capacity after voiding,1440705.0,1047428,6120,7.907969143388311,11572167.51,9.1569718948,1103.0,-13.6,-1.25
52442,"Insertion of implant in urethra within prostate gland using an endoscope, each additional implant",43076.0,10282,513,238.9949014099323,11520270.47,740.50336604,33633.0,-67.7,-501.51
52442,"Insertion of implant in urethra within prostate gland using an endoscope, each additional implant",43076.0,10282,513,238.9949014099323,11520270.47,39.603998636,57172.0,503.5,199.39
99232,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 35 minutes",177372.0,90191,2380,62.713665996796216,11303206.96,,,,
99222,"Initial hospital care with straightforward or low-level medical decision making, if using time, at least 55 minutes",105425.0,100834,3114,101.82560188294156,10817862.82,,,,
J0585,"Injection, onabotulinumtoxina, 1 unit",2094424.0,10780,459,4.890975303669565,10278549.51,,,,
52601,Removal of prostate gland using an electrocautery knife through urethra with control of bleeding using an endoscope,17915.0,17900,1034,562.8607906602225,10085506.01,658.74050489,42544.0,-14.6,-95.88
52601,Removal of prostate gland using an electrocautery knife through urethra with control of bleeding using an endoscope,17915.0,17900,1034,562.8607906602225,10085506.01,584.23781818,440.0,-3.7,-21.38
76770,Complete ultrasound scan behind abdominal cavity,134392.0,111152,1280,71.31213653305846,9948821.07,,,,
52310,"Simple removal of foreign body, stone, or stent in urethra or bladder using an endoscope",47600.0,45964,2257,205.57244683678803,9745605.15,246.99277583,55270.0,-16.8,-41.42
52310,"Simple removal of foreign body, stone, or stent in urethra or bladder using an endoscope",47600.0,45964,2257,205.57244683678803,9745605.15,225.79929856,37480.0,-9.0,-20.23
50590,Shock wave crushing of kidney stones,22006.0,19254,979,440.71615237102145,9680862.63,511.1311186,742.0,-13.8,-70.41
50590,Shock wave crushing of kidney stones,22006.0,19254,979,440.71615237102145,9680862.63,553.04729317,48374.0,-20.3,-112.33
55866,Surgical removal of prostate and surrounding lymph nodes using an endoscope,10982.0,10974,539,840.3604641180741,9448128.18,883.81021001,24951.0,-4.9,-43.45
55866,Surgical removal of prostate and surrounding lymph nodes using an endoscope,10982.0,10974,539,840.3604641180741,9448128.18,1129.8290265,339.0,-25.6,-289.47
52332,Insertion of stent in ureter using an endoscope,88786.0,73231,3703,101.33656978765949,8978970.64,168.73857329,127524.0,-39.9,-67.4
52332,Insertion of stent in ureter using an endoscope,88786.0,73231,3703,101.33656978765949,8978970.64,177.07333841,1968.0,-42.8,-75.74
55874,Injection of biodegradable material next to prostate,6078.0,6069,283,1150.80134154587,7309673.21,182.2075226,10289.0,531.6,968.59
55874,Injection of biodegradable material next to prostate,6078.0,6069,283,1150.80134154587,7309673.21,2292.791582,9374.0,-49.8,-1141.99
99223,"Initial hospital care with moderate level of medical decision making, if using time, at least 75 minutes",52760.0,49663,1384,136.10588845619148,7252219.81,,,,
J3490,Unclassified drugs,40518.0,3991,134,471.3411361913605,7172965.01,,,,
84153,"Psa (prostate specific antigen) measurement, total",392203.0,292157,1509,17.915515644288934,7028399.31,18.118801162,3181905.0,-1.1,-0.2
84153,"Psa (prostate specific antigen) measurement, total",392203.0,292157,1509,17.915515644288934,7028399.31,17.791578947,38.0,0.7,0.12
52287,Exam with injections of chemical for destruction of bladder using an endoscope,30843.0,22116,925,209.68214682043353,6760567.04,302.33915948,33515.0,-30.6,-92.66
52287,Exam with injections of chemical for destruction of bladder using an endoscope,30843.0,22116,925,209.68214682043353,6760567.04,240.22826312,35512.0,-12.7,-30.55
51797,Insertion of device into abdomen with pressure and urine flow rate study,50235.0,48986,1481,130.09575870389386,6532860.55,,,,
