drg_code,drg_description,total_or_cases,avg_payment,hospital_count
660,KIDNEY AND URETER PROCEDURES FOR NON-NEOPLASM WITH CC,10049,12496.892967301133,530
673,OTHER KIDNEY AND URINARY TRACT PROCEDURES WITH MCC,8039,34704.210096478164,458
652,KIDNEY TRANSPLANT,6984,42680.83760725926,162
659,KIDNEY AND URETER PROCEDURES FOR NON-NEOPLASM WITH MCC,3477,24759.6664442765,217
661,KIDNEY AND URETER PROCEDURES FOR NON-NEOPLASM WITHOUT CC/MCC,3274,9543.561745133333,204
657,KIDNEY AND URETER PROCEDURES FOR NEOPLASM WITH CC,2501,18266.485530459853,137
654,MAJOR BLADDER PROCEDURES WITH CC,1688,30461.09220049367,79
658,KIDNEY AND URETER PROCEDURES FOR NEOPLASM WITHOUT CC/MCC,1315,15729.339345466668,84
674,OTHER KIDNEY AND URINARY TRACT PROCEDURES WITH CC,1040,23500.690233819445,72
708,MAJOR MALE PELVIC PROCEDURES WITHOUT CC/MCC,848,15306.29027493913,46
651,KIDNEY TRANSPLANT WITH HEMODIALYSIS WITHOUT MCC,623,46574.443206645155,31
707,MAJOR MALE PELVIC PROCEDURES WITH CC/MCC,469,20161.91299628,25
656,KIDNEY AND URETER PROCEDURES FOR NEOPLASM WITH MCC,267,41066.9165891,20
653,MAJOR BLADDER PROCEDURES WITH MCC,221,69852.93370233334,15
669,TRANSURETHRAL PROCEDURES WITH CC,187,14093.298444999999,14
655,MAJOR BLADDER PROCEDURES WITHOUT CC/MCC,181,24320.614033,12
666,PROSTATECTOMY WITH CC,26,12673.648484500001,2
668,TRANSURETHRAL PROCEDURES WITH MCC,12,29076.166667,1
