state,physician_count,avg_rvu_proxy,avg_procedures,avg_revenue,median_rvu
CA,795,233067.66,8224.25,178357.32,138114.35
NY,715,184312.18,5300.81,140095.76,110535.94
FL,702,212727.28,6446.68,162104.47,140293.3
TX,635,181027.86,5868.06,140366.28,131311.42
PA,408,127637.34,2109.28,95303.37,100799.87
OH,346,119007.38,1841.45,88564.34,91254.39
IL,330,206339.71,4493.36,158085.07,143254.64
NJ,299,254759.26,5416.11,193867.41,216972.27
NC,295,132368.46,3432.56,98391.7,99992.29
MI,277,124190.63,1881.14,93303.47,61644.99
GA,267,149995.42,8792.84,112056.43,121824.61
MA,233,203821.1,3727.07,156343.97,144923.21
VA,218,198075.64,6098.26,149118.91,181343.97
TN,199,194105.79,10044.21,146598.64,154095.4
IN,196,182179.84,3602.73,136735.42,152922.41
AZ,191,218983.59,3555.73,165109.48,169811.74
WA,183,124906.15,2477.62,92728.43,105249.94
MD,180,250267.33,4717.31,193132.43,215307.45
MO,172,156504.71,3829.31,118679.47,130305.66
MN,168,75413.19,1614.02,56899.12,60585.25
WI,157,74941.47,1658.54,55657.5,60675.48
LA,156,150921.65,9646.09,113780.09,101179.57
CO,151,133863.97,2595.74,101519.31,119927.63
SC,142,223069.21,8250.04,167046.79,170571.08
AL,125,148560.61,12222.59,111515.6,133653.37
CT,120,118428.98,2071.73,88273.96,89319.24
OK,105,230777.11,8529.63,179204.67,206182.06
OR,104,118053.02,2472.48,87901.75,92539.56
KY,99,117143.24,2837.53,87204.51,79481.34
KS,76,184338.3,4633.25,140485.32,129582.78
IA,75,165156.1,4662.08,125755.46,153652.7
PR,70,13897.31,138.29,9776.96,8309.05
MS,66,309101.67,11642.3,242709.55,230481.19
UT,61,124450.7,3025.68,93354.5,91784.75
AR,55,230488.56,7420.65,176900.14,174560.92
NH,51,105000.7,1732.63,78487.26,74843.08
NE,50,216806.57,8614.56,164815.28,162723.1
WV,47,63705.46,844.68,47340.1,61549.52
NV,45,210532.13,3615.76,157945.26,162105.28
ME,44,40606.27,718.34,30204.61,36607.53
ID,39,140036.38,2677.33,105719.99,123162.03
RI,36,91136.22,1440.94,67616.59,83270.61
DC,34,146571.37,1700.85,110492.78,121253.13
NM,34,114636.35,1715.47,85317.8,91578.09
MT,34,140049.84,1664.65,103250.93,118859.46
DE,27,367807.71,6781.04,287513.57,461830.12
HI,27,90652.21,1047.07,65738.4,74486.7
SD,23,169737.38,5665.91,126869.59,172848.54
VT,23,74014.77,917.04,53506.86,76473.99
AK,18,164463.57,1594.28,122954.72,141145.91
ND,16,71615.41,703.94,52823.16,68211.03
WY,12,189261.73,2861.58,138860.56,173390.31
ZZ,3,72939.72,641.0,53614.77,62714.65
GU,3,120178.39,1085.0,87132.95,112894.33
VI,2,289736.81,2254.0,205360.09,289736.81
AE,1,58814.15,526.0,44046.88,58814.15
