state,urologist_count,total_inpatient_discharges,total_ambulatory_services,annual_capacity_estimate,capacity_utilization_pct,services_per_urologist
CA,795,36473.0,6538282.0,3975000,164.5,8224.0
NY,715,28374.0,3790076.1,3575000,106.0,5301.0
FL,702,43048.0,4525567.5,3510000,128.9,6447.0
TX,635,32509.0,3726217.3,3175000,117.4,5868.0
PA,408,19702.0,860586.3,2040000,42.2,2109.0
OH,346,16771.0,637141.0,1730000,36.8,1841.0
IL,330,22086.0,1482808.2,1650000,89.9,4493.0
NJ,299,17154.0,1619417.0,1495000,108.3,5416.0
NC,295,14367.0,1012606.0,1475000,68.7,3433.0
MI,277,12605.0,521075.5,1385000,37.6,1881.0
GA,267,11891.0,2347688.0,1335000,175.9,8793.0
MA,233,15460.0,868407.5,1165000,74.5,3727.0
VA,218,12882.0,1329421.5,1090000,122.0,6098.0
TN,199,10692.0,1998797.0,995000,200.9,10044.0
IN,196,10762.0,706136.0,980000,72.1,3603.0
AZ,191,7729.0,679144.0,955000,71.1,3556.0
WA,183,6845.0,453404.0,915000,49.6,2478.0
MD,180,10480.0,849116.0,900000,94.3,4717.0
MO,172,10290.0,658641.0,860000,76.6,3829.0
MN,168,4975.0,271155.0,840000,32.3,1614.0
WI,157,5215.0,260390.0,785000,33.2,1659.0
LA,156,6846.0,1504790.0,780000,192.9,9646.0
CO,151,3717.0,391957.0,755000,51.9,2596.0
SC,142,8232.0,1171506.0,710000,165.0,8250.0
AL,125,6571.0,1527824.0,625000,244.5,12223.0
CT,120,5245.0,248608.0,600000,41.4,2072.0
OK,105,6828.0,895611.0,525000,170.6,8530.0
OR,104,2694.0,257138.0,520000,49.4,2472.0
KY,99,6397.0,280915.0,495000,56.8,2838.0
KS,76,3906.0,352127.0,380000,92.7,4633.0
IA,75,3663.0,349656.0,375000,93.2,4662.0
PR,70,,9680.0,350000,2.8,138.0
MS,66,5773.0,768392.0,330000,232.8,11642.0
UT,61,1744.0,184566.7,305000,60.5,3026.0
AR,55,5875.0,408136.0,275000,148.4,7421.0
NH,51,1914.0,88364.0,255000,34.7,1733.0
NE,50,2300.0,430728.0,250000,172.3,8615.0
WV,47,3427.0,39700.0,235000,16.9,845.0
NV,45,3950.0,162709.0,225000,72.3,3616.0
ME,44,966.0,31607.0,220000,14.4,718.0
ID,39,979.0,104416.0,195000,53.5,2677.0
RI,36,1042.0,51874.0,180000,28.8,1441.0
DC,34,1497.0,57829.0,170000,34.0,1701.0
NM,34,1445.0,58326.0,170000,34.3,1715.0
MT,34,941.0,56598.0,170000,33.3,1665.0
DE,27,2352.0,183088.0,135000,135.6,6781.0
HI,27,711.0,28271.0,135000,20.9,1047.0
SD,23,1398.0,130316.0,115000,113.3,5666.0
VT,23,632.0,21092.0,115000,18.3,917.0
AK,18,466.0,28697.0,90000,31.9,1594.0
ND,16,1306.0,11263.0,80000,14.1,704.0
WY,12,570.0,34339.0,60000,57.2,2862.0
ZZ,3,,1923.0,15000,12.8,641.0
GU,3,,3255.0,15000,21.7,1085.0
VI,2,,4508.0,10000,45.1,2254.0
AE,1,,526.0,5000,10.5,526.0
